StudentID,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,IsAnomaly,Salary Package,CollegeTier,CGPA_Tier,Gender_Male,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kochi,City_Kolkata,City_Mumbai,City_Pune,Stream_Civil,Stream_ECE,Stream_EE,Stream_IT,Stream_Mechanical,Specialisation_DataScience,Specialisation_Embedded,Specialisation_Networking,Hostel_Yes,HistoryOfBacklogs_Yes
-0.085559932,1.834600692,1.789640119,1.779264315,1.749984724,1.371570462,1.697512517,1.652720642,1.649359116,1.629388051,0.875548309,1.079445525,0.739315123,1.193989254,1.756537571,0.369269997,0.608098505,0.369241879,0.378382388,0.906656549,-1.067900257,-0.190374852,1.037899487,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.18190583,-0.02740287,-0.165237675,-0.158740458,-0.202419835,-0.175015361,-0.346038252,-0.119382859,0.113059888,-0.162896238,0.009064941,-0.15392459,-0.089699368,-0.83023598,0.058107538,0.369269997,-0.042799057,0.263576645,-0.053390566,-0.116030119,-1.067900257,-0.190374852,-0.086251197,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.362917241,0.788457348,0.844782519,0.729780003,0.071043995,0.428530326,0.488827001,0.348255564,0.564195375,0.498394862,0.097317876,-0.15392459,-0.089699368,0.181876637,0.907322554,-1.024464659,-0.544532595,-1.004406171,-0.038671033,0.154681058,-1.067900257,-0.190374852,1.066201368,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
-0.40169059,1.268762154,1.235758077,1.244864328,0.827839248,1.277266448,0.968563005,1.037406926,1.10068082,1.091702764,-0.319877819,-0.15392459,-0.089699368,0.181876637,1.756537571,1.763004653,1.347138447,-0.053419059,0.564829799,0.660008588,0.936417042,-0.190374852,0.982427802,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.622057072,-1.520953429,-1.53365213,-1.266171757,-1.849562444,-1.702740381,-1.641948496,-1.866873812,-1.795121297,-1.701788611,0.097317876,-1.387294706,-0.089699368,-1.842348597,-0.791107479,-1.024464659,-0.090260338,0.15791141,-0.25455751,0.022333371,-1.067900257,-0.190374852,-1.081345307,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0.034146737,-0.757729355,-0.49105064,-0.718894661,-0.768426369,-0.338475651,-0.682476488,-0.796227947,-0.600221897,-0.595516584,-0.993809327,-0.15392459,-0.089699368,0.181876637,0.058107538,-1.024464659,-0.16484235,0.580572349,0.128150335,-0.037824668,0.936417042,-0.190374852,-1.081345307,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
0.577526543,-0.494548639,-0.836412384,-1.098769351,-0.596716522,-0.835143456,-1.081218102,-1.017740884,-0.600221897,-0.898350826,-0.59265962,-1.387294706,-0.089699368,-0.83023598,0.058107538,-1.024464659,0.025002772,-0.053419059,0.03983314,-0.440883531,-1.067900257,-0.190374852,-1.081345307,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
-0.158821518,0.47264049,0.434258182,0.607447476,0.369946322,0.327939378,0.414062948,0.225192821,0.393495461,0.337707305,1.870399583,2.312815641,0.739315123,1.193989254,1.756537571,0.369269997,1.103051861,1.954220399,1.114359013,0.774308863,0.936417042,-0.190374852,-0.061345542,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1.426393344,-0.126095638,-0.438920566,-0.390528404,-0.246937203,0.057601206,-0.302425888,-0.236292465,-0.008868623,-0.169076529,-0.817303456,1.079445525,0.739315123,1.193989254,0.907322554,1.763004653,0.87252564,1.425894226,1.546131966,1.051035844,0.936417042,-0.190374852,-0.094175724,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
0.246605338,-0.797206462,-0.673505901,-0.487106715,-0.361410435,-0.6779701,-0.258813524,-0.390120894,-0.411232706,-0.45955019,0.883571303,-0.15392459,0.739315123,2.206101871,1.756537571,1.763004653,1.197974422,1.003233287,-0.023951501,0.696103412,-1.067900257,-0.190374852,-0.669269931,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-0.825432843,0.209459774,-0.100075081,-0.300388647,0.032886252,-0.281893243,-0.109285419,-0.070157762,-0.142989984,1.654109214,1.637732752,2.312815641,2.397344104,0.181876637,1.756537571,1.763004653,1.943794546,0.15791141,1.963185387,0.936735569,0.936417042,5.25279462,-0.087383272,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.721996935,-0.047141423,0.238770403,0.156748691,0.077403619,-0.093285216,0.146158427,-0.107076585,0.052095632,0.016332191,0.634858484,-1.387294706,-0.089699368,0.181876637,0.058107538,0.369269997,0.364011919,-0.793075702,-0.441004921,-0.717610512,0.936417042,-0.190374852,-1.081345307,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
